BlockNo,Area,Zip,Geom
308119,141192,"11236","(-73.91129153354895,40.64892045165415)"
501651,195533,"10303","(-74.1663874027182,40.6214910981737)"
300955,134963,"11215","(-73.98193499781661,40.67656735290812)"
204950,106852,"10466","(-73.8306886965604,40.88789585092663)"
205340,72974,"10461","(-73.82624363213453,40.83799254843721)"
205504,204629,"10465","(-73.809907660893,40.81528358022241)"
100962,1535438,"10016, 10010","(-73.97425988413457,40.74022357176683)"
101923,119144,"10026","(-73.9532662883868,40.80483182764723)"
101790,121898,"10035","(-73.93443771162441,40.80358506494447)"
403386,88282,"11385","(-73.91136997314436,40.7091068880068)"
412575,4100,"11434","(-73.77046167046623,40.672396078597735)"
205818,320176,"10471","(-73.90226531754426,40.894160758117)"
306313,100439,"11214","(-74.00229674855758,40.610504410012375)"
501691,149606,"10303","(-74.15991376160355,40.625588472809085)"
308533,140024,"11234","(-73.93041927519289,40.60612138745876)"
502665,6070890,"10314","(-74.18203361426396,40.59344097611823)"
403706,105905,"11385","(-73.88182938664647,40.7003311471739)"
205436,144876,"10465","(-73.81966764791756,40.825894959960124)"
205939,370893,"10471","(-73.91118490110107,40.901748616267746)"
304867,95033,"11203","(-73.93410265990592,40.65438425510416)"
504760,35200,"","(-74.11389025859377,40.55559310031717)"
100315,250773,"10002","(-73.98568907958337,40.714992606535844)"
100582,119918,"10014","(-74.00550923573053,40.72991618674777)"
307789,119916,"11210","(-73.93590821034631,40.62672792269493)"
303880,198422,"11236, 11207","(-73.89855479942973,40.65451289145806)"
400017,110150,"11101","(-73.95757713565975,40.74376691601116)"
300799,140185,"11220","(-74.0122920611418,40.64492735929148)"
101095,62316,"10036","(-73.99679489426006,40.76474453545218)"
202590,167159,"10454","(-73.90962519433673,40.80391612556096)"
302649,119003,"11222","(-73.94912680259824,40.72529512863343)"
203371,99979,"10470","(-73.87178082144472,40.89814693774102)"
400257,137255,"11101","(-73.93305521077245,40.73839812990257)"
101448,133306,"10021","(-73.95645983398818,40.769302516313545)"
300708,112210,"11232","(-74.0074175769573,40.65293268220091)"
403397,90588,"11385","(-73.91621305510357,40.71019875859842)"
205098,155593,"10466","(-73.84266867299982,40.90124203782937)"
400657,7500,"11103","(-73.91895952265295,40.760769859517005)"
400914,124962,"11102","(-73.93438968285179,40.77588933925176)"
416085,180,"","(-73.80200732636804,40.59168933686756)"
409184,112633,"11418","(-73.84518898407435,40.697486392588964)"
205069,159841,"10470","(-73.85421056555175,40.89950190961861)"
403632,105240,"11385","(-73.89316805409207,40.7037448384181)"
502652,12100,"","(-74.18907612292546,40.586547218230926)"
202538,29750,"10456","(-73.9254279857174,40.844823900389514)"
306005,139993,"11209","(-74.0340359192885,40.62698695880155)"
302049,60723,"11201","(-73.98287008223163,40.694227488415606)"
302263,170159,"11206, 11205","(-73.95534294907105,40.69954930687917)"
302919,78066,"11211","(-73.94086576593263,40.713352741799866)"
303408,107973,"11207","(-73.91424095577472,40.686132282674386)"
400046,119838,"11101","(-73.95211209320861,40.744921053814316)"
305567,80162,"11204","(-73.9952405734165,40.61967170404147)"
305530,139999,"11219, 11204","(-73.99451439591637,40.6240966871723)"
204716,142345,"10469","(-73.84970164880961,40.881307583498874)"
403571,111950,"11385","(-73.89670309610385,40.69478084672102)"
305460,118034,"11204","(-73.98288706872752,40.62808301584597)"
411013,2500,"11412","(-73.75734751956773,40.69868648913806)"
100414,66485,"10002","(-73.99078943284341,40.71873849516674)"
308052,118501,"11236","(-73.90382974057746,40.63436445287543)"
504016,56100,"10306","(-74.11770119511709,40.56102743608155)"
308247,140732,"11236","(-73.89268975517771,40.6417550020228)"
505204,48670,"10308","(-74.14372061085733,40.54411883325724)"
100524,248194,"10012","(-73.99819857381787,40.726912364176705)"
304524,110000,"11208","(-73.87215867340925,40.66343047378964)"
502641,126336,"10314","(-74.18770265878396,40.58914461010943)"
203649,118986,"10473","(-73.88008581199692,40.8222845905962)"
202488,127420,"10452","(-73.92125196047883,40.834765446993)"
305042,240615,"11225","(-73.95846129856862,40.657762016195605)"
414003,108258,"11414","(-73.84946830836408,40.65692549620527)"
415909,29532,"11692","(-73.79355027294892,40.591434011439055)"
500733,111110,"10314","(-74.13458518098734,40.60928693578854)"
203607,156141,"10473","(-73.85318407793568,40.82088081056476)"
300249,100693,"11201","(-73.99353230142262,40.69420296491261)"
506234,143610,"10312","(-74.18394565492717,40.54701434714661)"
305626,118801,"11219","(-73.99674051031053,40.639185687102575)"
308342,9882,"11234","(-73.91730721023586,40.62806127075765)"
400075,57385,"11101","(-73.9475588295245,40.74554130144212)"
400615,179589,"11102, 11106","(-73.92198866971152,40.76544148791139)"
203520,139609,"10473","(-73.86403143792339,40.815771656011805)"
100247,145031,"10002","(-73.98896082646037,40.71075334724369)"
304485,100050,"11208","(-73.86855925542542,40.667698372220755)"
101884,158859,"10025","(-73.96408767834056,40.80515120052736)"
304786,589020,"11203, 11234","(-73.93050102312473,40.63617957206004)"
203038,193432,"10457, 10458","(-73.89393214557477,40.85532174106074)"
401315,2702,"11377","(-73.9122809488011,40.74494096027899)"
204079,86282,"10461","(-73.84722572396916,40.84428385938741)"
306298,140005,"11214","(-73.99448647199644,40.606496629027134)"
204488,159999,"10469","(-73.83844460512293,40.86389178375496)"
301958,123414,"11238","(-73.96979628410999,40.68532224824873)"
304599,136751,"11212","(-73.92506829562984,40.66489291040395)"
301332,140009,"11225","(-73.94420619840695,40.662360357383136)"
301901,102395,"11205","(-73.96915446606982,40.69231832578573)"
500485,77064,"10314","(-74.14543755143268,40.611144697943274)"
205120,86584,"10466","(-73.84526764158211,40.90259308045397)"
307145,202007,"11223","(-73.97617183878003,40.59339190836515)"
101516,166158,"10128","(-73.95484464792253,40.78048271271856)"
303608,96494,"11212","(-73.91399794541961,40.657832288408365)"
102009,149636,"10030, 10037","(-73.9397319928927,40.81818329187778)"
303448,274273,"11207, 11237","(-73.90315874923952,40.69018520198929)"
404004,176609,"11356","(-73.84061576481265,40.78656621804008)"
506250,98077,"10312","(-74.18157380791234,40.53682509823804)"
100256,316798,"10002","(-73.988292530333,40.71208121563603)"
303367,115002,"11221","(-73.91725464932604,40.69018239908714)"
205917,140975,"10471","(-73.91514146524523,40.88698852631835)"
302470,46006,"11249","(-73.96607462259611,40.71091706319751)"
202721,89934,"10459","(-73.89604464220915,40.81714840352835)"
307402,140000,"11229, 11235","(-73.95296183395449,40.593527855042886)"
305172,110201,"11226","(-73.95029021621288,40.64410405907322)"
307064,96777,"11224","(-73.9819766552248,40.57625184439358)"
307956,13467,"11236","(-73.91891563953806,40.6379620322955)"
307202,60188,"11235","(-73.96431453667991,40.59080239982043)"
505336,110250,"10312","(-74.16306005166852,40.53662154451267)"
500672,70840,"10301","(-74.1062915197725,40.61461950941)"
504416,224329,"10306","(-74.13507370087564,40.5688165885766)"
402514,29323,"11378","(-73.9237025875677,40.732317747992134)"
413657,3100,"11422","(-73.7362867813612,40.65127336688947)"
500908,1932615,"10304","(-74.11317450862026,40.597112327198865)"
506850,188006,"10312","(-74.19832113091057,40.54100669220708)"
305033,145044,"11225","(-73.95204975860935,40.66038155797403)"
303903,618,"11208","(-73.88140275520611,40.684772229107324)"
300148,79500,"11201","(-73.98574484086458,40.692940437466135)"
304692,181545,"11212","(-73.91681417556376,40.65624051367612)"
205757,116442,"10463","(-73.90610522875946,40.88242773794175)"
408899,80061,"11421","(-73.86719312126552,40.69093441374595)"
301673,170006,"11233","(-73.92453160767629,40.68359849730861)"
500948,281651,"10306","(-74.12209269915401,40.57755868243924)"
503288,68346,"10304","(-74.0934628553609,40.595759830376664)"
308366,466290,"11234","(-73.91433946340015,40.6221913469801)"
301309,233375,"11225","(-73.94964280438909,40.66468587939613)"
302962,470837,"11237","(-73.92991449435081,40.71127195382456)"
402631,203237,"11378","(-73.91221751423566,40.71789708382449)"
301033,131006,"11215","(-73.9921641679087,40.6682147463987)"
506726,177017,"10309","(-74.20210190790769,40.514827648772915)"
405041,2360,"11355","(-73.83058590010144,40.756749082885875)"
203010,127461,"10460","(-73.88432708118108,40.835179470820215)"
307703,140000,"11234","(-73.94166639126203,40.6128969826165)"
205739,129811,"10463","(-73.9112462425604,40.882978493997946)"
307879,159924,"11234","(-73.92266147161689,40.620428288770405)"
400347,79194,"11106, 11101","(-73.93604536899909,40.75865465287208)"
308443,140000,"11234","(-73.90221623032785,40.61900444820481)"
400884,217928,"11102","(-73.92447072753039,40.77288114535158)"
303727,184000,"11212","(-73.9049619367266,40.669878764097525)"
404145,419145,"11356, 11357","(-73.82887001590304,40.78277536886255)"
302317,72496,"11249","(-73.96078818184141,40.72020308671295)"
202596,163346,"10454","(-73.90850501608641,40.80185853098619)"
100106,62913,"10038","(-74.00168484401661,40.70883181895545)"
405025,2762,"11354","(-73.81852900440217,40.762036103581345)"
304955,150000,"11203","(-73.9405050653256,40.642590021296066)"
203858,116995,"10461","(-73.84276768254361,40.83888850050742)"
500036,271152,"10301","(-74.08436141851324,40.637855467482495)"
101796,141302,"10035","(-73.93494454305001,40.79874685565901)"
305774,92658,"11219","(-74.00477573535169,40.624577959789484)"
301079,132196,"11215","(-73.97475620860133,40.66910608166317)"
300586,78000,"11231","(-74.01449115516276,40.67695487439272)"
301464,163044,"11233","(-73.91551229493139,40.6719768374426)"
307381,468001,"11229","(-73.94930079801338,40.5962314336988)"
305075,125100,"11226","(-73.96640156633666,40.64915987331173)"
306795,178251,"11229","(-73.96029946043606,40.606645921332756)"
302700,83598,"11222","(-73.94614558357782,40.72255721281043)"
305877,172758,"11228, 11220","(-74.01386723821227,40.62926881833871)"
100560,127000,"10003","(-73.99335931245983,40.731385894724305)"
504218,99286,"10306","(-74.1168377035892,40.57046818524466)"
502375,179123,"10314","(-74.14994659401141,40.588958894432224)"
409108,43552,"11417","(-73.8503876794636,40.68032372839589)"
307761,155027,"11234","(-73.92101810342534,40.6321178770977)"
301486,116673,"11221","(-73.91955894894416,40.68715359301377)"
204204,58475,"10461","(-73.84849880918492,40.85316039318071)"
202512,159561,"10452","(-73.92824186876152,40.83345926574606)"
305493,138448,"11204","(-73.98633314898208,40.624697792640376)"
306764,171985,"11230, 11229","(-73.95644872340846,40.61195919376354)"
408725,4000,"11040","(-73.70214484646095,40.74648874205925)"
304872,117345,"11203","(-73.94440988128208,40.652009324490095)"
303129,719151,"11206","(-73.93914191960121,40.702670490835416)"
203193,76001,"10453","(-73.90851721183432,40.8544260812917)"
307192,199573,"11223","(-73.9735112569671,40.58911511866525)"
505550,225251,"10308","(-74.1563722228024,40.56469620208267)"
303639,90276,"11212","(-73.90389861020681,40.65606184392851)"
401881,3800,"11368","(-73.8641682795398,40.74392787569063)"
416274,176465,"11694","(-73.85786949459477,40.57344210350319)"
500476,198090,"10314","(-74.14390188713442,40.61535706250414)"
300672,112126,"11232","(-74.00218643555684,40.65797349438382)"
502892,74200,"10304","(-74.08342035430091,40.609713385694945)"
304995,312576,"11210","(-73.94662720631536,40.63769769869417)"
503093,82886,"10305","(-74.07152513844333,40.60060080245222)"
304540,104960,"11208","(-73.85678644455558,40.66624334565154)"
411556,42611,"11417","(-73.83846555976574,40.66860017728277)"
503123,126744,"10305","(-74.06536724296444,40.5926249019743)"
203276,80331,"10458","(-73.89068158319073,40.8633824425668)"
306757,218503,"11230","(-73.95496004862403,40.61476813413769)"
403526,159069,"11385","(-73.90017047266102,40.709001283811176)"
303264,72937,"11221","(-73.9258262509638,40.69460625325795)"
302315,74829,"11211","(-73.9524630925913,40.71601747248196)"
305686,140252,"11220","(-74.00639589389603,40.63681191159362)"
102139,1379629,"10032, 10033","(-73.94239243902996,40.8450304325015)"
301271,143124,"11213","(-73.94362538692543,40.6689004634867)"
306625,140001,"11204, 11223","(-73.98002393785438,40.6069391801177)"
303929,133257,"11208","(-73.8818842269811,40.68225058672513)"
204268,147919,"10462","(-73.85817105658515,40.85121029033035)"
409557,1500,"11419","(-73.8226644495736,40.68632746330784)"
410333,2500,"11433","(-73.77933091260627,40.7040916182605)"
308236,137716,"11236","(-73.90098088085976,40.63638967801473)"
406062,3125,"11361","(-73.77597656672242,40.773301534741776)"
411354,103211,"11417","(-73.84476969358862,40.67631179095032)"
205487,563822,"10465","(-73.81403938717324,40.823993078914974)"
416247,102816,"11694","(-73.85595341434377,40.57864288322272)"
306694,201965,"11230","(-73.95815821586304,40.63163669879603)"
301905,448380,"11205","(-73.96391043250638,40.69285863990058)"
404011,109302,"11356","(-73.83690322410918,40.786960241470474)"
306016,140000,"11209","(-74.03163817611397,40.62567101209959)"
500359,36364,"10314","(-74.13127969076136,40.620710622678246)"
503392,73914,"10305","(-74.07919002885431,40.59361558739042)"
305231,155007,"11210","(-73.94863310928267,40.63740641623234)"
100856,166899,"10010","(-73.98637087071285,40.74307785673391)"
305192,150000,"11226","(-73.95202595094025,40.641874200623235)"
500687,514838,"10301","(-74.10824473342032,40.60460498698062)"
403472,92068,"11385","(-73.90358575039522,40.7027502127002)"
300782,112356,"11232, 11220","(-74.01324061391745,40.64732590312434)"
308465,139900,"11234","(-73.91113850765139,40.61581206867018)"
302692,144078,"11222","(-73.93824771458672,40.72512827570918)"
202778,240195,"10474","(-73.8786199692462,40.806653808128075)"
406060,4200,"11361","(-73.77855101254433,40.77271159932752)"
305273,129647,"11218","(-73.9775946149856,40.65180731164507)"
400604,2000,"11106","(-73.92928513853458,40.756832479388315)"
303314,161603,"11221","(-73.92061646313007,40.69395044413218)"
411330,4000,"11411","(-73.73142846655087,40.69326706432947)"
204408,70644,"10469","(-73.8346318693425,40.858451670273716)"
401171,5850,"11370","(-73.8910991617508,40.75531663538736)"
303671,98004,"11207","(-73.89559520580225,40.67669419503067)"
306171,149702,"11204","(-73.99454325024844,40.61668943836335)"
202691,257488,"10459","(-73.89845715478897,40.82501580652105)"
403395,80616,"11385","(-73.91768373294342,40.71106563445811)"
413066,4680,"11413","(-73.75337034671118,40.669417150690464)"
305248,73076,"11210","(-73.95118333927607,40.634526644421626)"
304588,136105,"11203","(-73.93298829627288,40.66229454433422)"
502850,79942,"10305","(-74.06694650631341,40.61435040731231)"
203270,343133,"10463","(-73.90023365127601,40.88329481836527)"
305622,140301,"11219","(-73.99175938129945,40.63709116859503)"
307204,297629,"11235","(-73.96165840054105,40.590430815382476)"
403401,90738,"11385","(-73.9132263110259,40.70843724519073)"
412171,2500,"11433","(-73.79211736435718,40.689264005880176)"
308513,87999,"11234","(-73.92391362172285,40.6139171693903)"
403650,77358,"11385","(-73.88757393335293,40.70529416305546)"
404198,99831,"11356","(-73.84559461938275,40.77937551451212)"
306104,123400,"11209","(-74.03820090994682,40.61856934823459)"
203492,80050,"10473","(-73.86452253174451,40.81394396162043)"
305646,119842,"11219","(-73.99849521332312,40.63751242226639)"
305170,99801,"11226","(-73.95223236044829,40.6439474451612)"
101149,163767,"10024","(-73.97762515955941,40.78154566360511)"
202868,551076,"10453","(-73.91258989550728,40.85245035672504)"
205825,237215,"10471","(-73.89765881737341,40.89684016870796)"
303187,130000,"11237","(-73.92498746899625,40.70382071720139)"
306601,168500,"11204","(-73.97942001834875,40.6094286174868)"
416090,122934,"11692","(-73.80347549864541,40.58969231999244)"
400080,20900,"11101","(-73.94490496658388,40.74651555569693)"
415916,106111,"11692","(-73.79756179518382,40.59192049307398)"
302368,70858,"11211","(-73.95694219191492,40.71396378808728)"
411772,4920,"11420","(-73.80496443838688,40.67170769185805)"
500634,60839,"10304","(-74.08339048378083,40.61803857151003)"
205858,49847,"10471","(-73.89914143900927,40.906100058874614)"
204477,140681,"10469","(-73.84393184397406,40.86180101102732)"
205733,55272,"10463","(-73.91161926533175,40.88150794392153)"
101374,164763,"10022","(-73.97122147306412,40.76391636834407)"
202880,730864,"10453","(-73.92315711991839,40.84847539145718)"
204527,81741,"10469","(-73.84956645315302,40.866467688618755)"
500771,72429,"10314","(-74.13245762782547,40.60723468687869)"
505385,142145,"10312","(-74.1606708644746,40.53076612159569)"
504597,70700,"10308","(-74.15486010975454,40.56333568299946)"
505660,298320,"10312","(-74.17640796673038,40.55055006575871)"
203616,156016,"10473","(-73.8440382166238,40.82212139643855)"
205779,91475,"10463","(-73.90455303367764,40.88777205276773)"
305503,169141,"11204","(-73.98991283264287,40.62500556374631)"
203678,155562,"10473","(-73.85369550198742,40.82304211338628)"
500694,580839,"10314, 10305","(-74.11548078707958,40.61093873627338)"
308494,140000,"11234","(-73.92217195293134,40.61581334917154)"
409818,2103,"11432","(-73.79478009779768,40.7091040117139)"
308896,124679,"11229","(-73.9298981883752,40.59256705884078)"
502285,43644,"10306","(-74.13943576581786,40.57583908382723)"
300607,152165,"11231","(-74.00983563781004,40.67247371351979)"
504575,278162,"10308","(-74.1450830837981,40.55977380989493)"
416223,124722,"11694","(-73.84728297765834,40.57738247701329)"
304342,105998,"11207","(-73.89366257679642,40.656129536693655)"
100869,162718,"10016","(-73.98047728212576,40.75122950051806)"
100304,81817,"10002","(-73.99462830390014,40.71769282543722)"
404044,329505,"11356, 11360","(-73.85780347365194,40.784707120364686)"
306120,123381,"11209","(-74.03702167896985,40.61659416069365)"
405948,3400,"11360","(-73.77726955975731,40.78384770571521)"
307682,124764,"11210","(-73.94635910590512,40.616122029527)"
303530,16599,"11212","(-73.9225279114653,40.664990509885996)"
402671,60172,"11378","(-73.9126249067024,40.72200321609687)"
414070,132150,"11414","(-73.84410134286891,40.65093998225184)"
503389,119329,"10305","(-74.08784454895677,40.583912839715)"
101156,144663,"10023","(-73.9865348192784,40.774439165851334)"
503567,0,"","(-74.10531569005204,40.58215463019005)"
304179,81145,"11208, 11416","(-73.86438050074631,40.681616163642246)"
303842,48570,"11207","(-73.89121471006011,40.66316247732634)"
410573,300,"11427","(-73.75602647028884,40.71987316850091)"
506043,120852,"10312","(-74.19525415529017,40.547320399682214)"
300090,258490,"11201","(-73.9817398681411,40.69901577902889)"
305570,139000,"11204","(-73.98845541866689,40.615744413958964)"
506843,248188,"10312","(-74.19696055388901,40.539475452895076)"
204543,151001,"10467","(-73.86989731831626,40.870558301252295)"
504740,103211,"","(-74.12219121424862,40.55494702708379)"
506296,79889,"10312","(-74.1886723667696,40.539183380680214)"
205416,418401,"10465","(-73.81868591419484,40.84720648360953)"
301747,144700,"11206","(-73.94786527406201,40.6959154530691)"
507895,95859,"10307","(-74.242573338147,40.508920004604505)"
300162,33294,"11217","(-73.98078778296173,40.68804559714469)"
300340,85187,"11231","(-74.00615255991858,40.68492038643865)"
101914,149870,"10027","(-73.94481685028552,40.811220791941345)"
101332,122355,"10022","(-73.96569894176297,40.76076745051608)"
506942,68829,"10309","(-74.20686109009483,40.528187457873585)"
204996,179675,"10466","(-73.85783361063498,40.89569300899832)"
500397,120009,"10314","(-74.1319852802737,40.61931739347479)"
203999,111934,"10461","(-73.85012780030193,40.84197349093271)"
306137,174536,"11209","(-74.03493062042787,40.61265099153608)"
404101,123105,"11356","(-73.83555130492141,40.78510999910891)"
305684,122033,"11219","(-73.99481225617292,40.63072367749067)"
415749,3100,"11691","(-73.7689643935311,40.603374148596586)"
503194,193151,"10304","(-74.08821816861584,40.59967616314157)"
304546,116357,"11208","(-73.86836537527752,40.66296001204881)"
506759,168515,"10309","(-74.20597578951126,40.524651542071894)"
300445,60000,"11231","(-73.98961905028709,40.6787629820888)"
504803,41240,"10306","(-74.11363854027589,40.550453227818885)"
101916,149808,"10027, 10037","(-73.94390699922363,40.81247464629285)"
305769,160619,"11219","(-73.99976988620676,40.62252540344541)"
409166,104628,"11417","(-73.84266590325733,40.67734327362979)"
502160,146707,"10314","(-74.16424063514371,40.607456062821676)"
301053,230934,"11215","(-73.98898066036865,40.66392501832411)"
202783,187202,"10456","(-73.91081955506911,40.83613312663615)"
308652,85692,"11234","(-73.91059532564803,40.61000287603518)"
408949,96525,"11421","(-73.86497572295666,40.6867598749801)"
301097,139182,"11215","(-73.97929705788114,40.66368086281664)"
400721,4425,"11103","(-73.90888894192496,40.761302346571775)"
300997,127143,"11215","(-73.98913298562259,40.67182008776929)"
504607,135609,"10308","(-74.15002870629482,40.559496434887414)"
500188,256888,"10310","(-74.1222598247765,40.637960090806)"
102047,114349,"10039","(-73.93836874196003,40.82878649062113)"
301545,49099,"11233","(-73.90673602336702,40.678284015847034)"
101996,128145,"10027","(-73.95907567592958,40.81723724342313)"
304078,100000,"11207","(-73.88465855773009,40.66695676091538)"
204824,158024,"10467, 10466","(-73.8628977920902,40.88653466607446)"
101741,282253,"10037","(-73.93553020716296,40.81920876604602)"
301217,172597,"11238, 11216","(-73.95455951902957,40.67608780626249)"
204389,121190,"10469","(-73.84383044385946,40.85897846276677)"
204941,203804,"10466","(-73.83473758393703,40.88554052915813)"
202338,159542,"10451","(-73.92369680773581,40.81813933102276)"
403940,210634,"11356","(-73.84679924053236,40.792209076259006)"
415716,271,"11691","(-73.75932816910706,40.60536740051374)"
302353,34133,"11211","(-73.95801030497175,40.714900610324825)"
308401,140000,"11234","(-73.9173693565251,40.6145880991394)"
204859,158782,"10466","(-73.8539273524037,40.884482059258026)"
404721,24974,"11357","(-73.809302098841,40.78596490418427)"
101253,227734,"10025","(-73.97479284143658,40.79500790269833)"
404169,99950,"11356","(-73.84370601611559,40.78091948870772)"
404613,473500,"11357","(-73.79310416822433,40.78980500776909)"
413651,2714,"11422","(-73.73632678190678,40.65527519340542)"
501790,889008,"","(-74.18811484318896,40.60525311866614)"
205090,45836,"10466","(-73.85022591240943,40.89873411064428)"
504982,54619,"10306","(-74.13017223215684,40.55718290643861)"
205780,81812,"10463","(-73.90415885097691,40.88894860012622)"
300043,73492,"11201","(-73.98195934954958,40.702608760420574)"
302764,79717,"11211","(-73.94517177718578,40.71406279239615)"
304289,98279,"11208","(-73.86287142653278,40.671714539672635)"
301264,154243,"11213","(-73.94351922865495,40.670067446120115)"
304131,122609,"11208","(-73.87194064891581,40.6846962181699)"
101507,165658,"10128","(-73.95446493581909,40.78687868949034)"
308739,160008,"11235","(-73.95123078555021,40.5758051393484)"
306775,140023,"11229","(-73.96070689794009,40.60907343430815)"
303798,130137,"11212, 11207","(-73.9011174623278,40.6644697055055)"
101057,159695,"10036","(-73.991513939566,40.76251857202478)"
204628,162270,"10467","(-73.86762021414886,40.87640266685229)"
307158,182184,"11223","(-73.96401614088894,40.59460778292029)"
500755,96698,"10314","(-74.12308023248193,40.603682490899686)"
305916,140009,"11209","(-74.03139094012494,40.633449866382165)"
306616,170004,"11230, 11223","(-73.96407992107267,40.61111779102515)"
507866,275436,"10307","(-74.2395816677429,40.50600159107147)"
303118,88802,"11206","(-73.93379796848781,40.70376293790201)"
304104,201407,"11208","(-73.87582422219296,40.687348589992446)"
302236,125022,"11206","(-73.95381615493508,40.70171229137825)"
307468,230654,"11235","(-73.94601816393008,40.5878306828949)"
414063,83800,"11414","(-73.8417577228771,40.6530128214906)"
409504,94722,"11417","(-73.84037239979969,40.68231605095167)"
306243,139999,"11228","(-74.010028256281,40.61952642005695)"
400363,95000,"11101","(-73.9391810930882,40.75834350887239)"
416300,116000,"11694","(-73.86064461501607,40.57295021099464)"
503066,660880,"10305","(-74.0598858943343,40.609046675789905)"
202525,102600,"10452","(-73.92941368435271,40.83380714881102)"
203061,292226,"10457","(-73.89396330224702,40.848936483116546)"
202383,89913,"10451","(-73.91222101266808,40.82403330434664)"
306573,149629,"11230","(-73.96412061832368,40.61633898657972)"
303596,100087,"11212","(-73.91439253479332,40.65934922836471)"
305592,147700,"11219, 11218","(-73.99111531418389,40.64125826868594)"
412357,334,"11434","(-73.78312167836059,40.68587366123814)"
414001,116862,"11414","(-73.85141546111859,40.65663792722938)"
301110,139128,"11215","(-73.97945105184911,40.65952614899098)"
301101,141973,"11215","(-73.98029365712031,40.66247166249919)"
306865,135503,"11214","(-73.98920101453385,40.597734575606786)"
304142,160875,"11208","(-73.87632983302461,40.680869277707956)"
500722,168072,"10314","(-74.1295917394905,40.611506397708474)"
501547,4086,"","(-74.15651219330607,40.610640241804475)"
502632,60000,"10314","(-74.1862190720756,40.590670103870515)"
304117,100436,"11208","(-73.87430403676481,40.685850472307564)"
300803,799590,"11232","(-74.02309989373562,40.650497531134306)"
100913,132226,"10016","(-73.97773077529206,40.74429053224154)"
305556,140000,"11204","(-73.98509157283112,40.61553255561424)"
411783,3000,"11420","(-73.81454765912711,40.66965401039622)"
203557,129021,"10473","(-73.86359879588124,40.81794188567353)"
304681,105248,"11203","(-73.92521097200753,40.653290463138376)"
202811,84135,"10457","(-73.90374850565864,40.850567853202115)"
302542,117560,"11222","(-73.95068594902928,40.73232911668299)"
306083,122709,"11209","(-74.03918318054295,40.62113567472114)"
304959,150001,"11203","(-73.93669821883614,40.6428214170284)"
306302,140002,"11228","(-74.01293319251711,40.61672932637951)"
302348,141600,"11249","(-73.96461001667124,40.718767554567336)"
302908,275137,"11211","(-73.93724043948244,40.715852682630526)"
205548,2935930,"10465","(-73.83187449734618,40.82366111750716)"
301918,136947,"11205","(-73.96585894256586,40.69077002134101)"
203218,237217,"10468","(-73.90692151457588,40.86124296638644)"
203801,160444,"10472","(-73.85536490004814,40.83022405787062)"
101442,130541,"10065","(-73.95929577833037,40.76543629548982)"
301295,186118,"11225","(-73.95516071697126,40.66607427220371)"
304698,107737,"11203","(-73.92974735584453,40.65097948106931)"
304403,97950,"11207, 11208","(-73.87765328362794,40.659209331477875)"
500216,172195,"10310","(-74.11790811693282,40.63204896595839)"
501464,89622,"10302, 10314","(-74.14164983693772,40.61814296385857)"
307790,120244,"11210","(-73.93498648624207,40.62679277943138)"
300816,139983,"11220","(-74.01125275874342,40.64247970064456)"
305536,137775,"11204","(-73.9810403422281,40.61595782611987)"
502386,142310,"10314","(-74.16174884235608,40.58698963517408)"
403487,33390,"11385","(-73.90418727607234,40.70804442018312)"
415572,8956,"11691","(-73.74675076494044,40.60257565455853)"
306166,140000,"11228","(-74.00585296660664,40.62352227147412)"
101602,165474,"10129, 10128, 10029","(-73.95392358216448,40.78760256993066)"
204354,101210,"10467, 10469","(-73.862262771449,40.860449341965456)"
302742,65767,"11211","(-73.9488388094253,40.7165829881268)"
306360,135332,"11228","(-74.01001997998944,40.610314487699405)"
504027,69700,"10306","(-74.11632885881727,40.55887719500318)"
506551,127635,"10312","(-74.18267884002468,40.52755590168758)"
301080,132010,"11215","(-73.97761970436979,40.669628840368055)"
413938,107958,"11414","(-73.85735055193328,40.66097846059491)"
501895,1248852,"10314","(-74.19487254777127,40.63389795156513)"
204255,52387,"10462","(-73.86663370233768,40.848136186535946)"
305875,106283,"11209, 11220","(-74.0179318918537,40.63152920353181)"
502823,60917,"10305","(-74.06903541227246,40.618793468126135)"
307781,130900,"11234","(-73.92270698394631,40.62965842543521)"
202482,148369,"10451","(-73.92721205466107,40.824580506641134)"
101097,110457,"10019","(-73.99589032679991,40.766003708813166)"
307640,159999,"11210","(-73.95283127397352,40.6200217855103)"
408909,84962,"11421","(-73.8621487716989,40.68825412070428)"
505239,87530,"10312","(-74.16047464414959,40.5436256326286)"
400776,199177,"11105","(-73.89400910217122,40.77942614017576)"
204095,94952,"10462","(-73.85776919713966,40.84650506494079)"
101811,301288,"10035","(-73.93007601729475,40.80005923487414)"
304690,134875,"11212","(-73.91833888374089,40.65528900314505)"
502397,604146,"10314","(-74.15837324502422,40.58507783212385)"
303518,172156,"11212","(-73.91371954344311,40.66793045261379)"
402770,52731,"11379","(-73.89994706222595,40.71298139910107)"
204174,103016,"10461","(-73.82684078582433,40.84601701459009)"
203537,523600,"10473","(-73.84622610466603,40.81814758935778)"
308520,139894,"11234","(-73.93152715953772,40.60821757596611)"
505554,120000,"","(-74.1592578020387,40.56511188748619)"
304098,425000,"11208","(-73.87018352414906,40.69198039666621)"
204639,59776,"10469","(-73.8560795272974,40.87352154136722)"
